id,speaker_header,polarity,subjectivity
153,hamlet52_5_1,-0.177777777778,0.344444444444
154,hamlet52_5_2,0.136363636364,0.454545454545
155,hamlet52_5_3,0.7,0.9
156,hamlet52_5_4,0.0,0.0
157,hamlet52_5_5,0.0,0.0
158,hamlet22_5_1,-0.2,0.4
159,hamlet51_5_1,0.0,0.0
160,hamlet51_5_2,0.416666666667,0.5
161,hamlet51_5_3,-0.25,0.5
162,hamlet51_5_4,0.0,0.0
163,hamlet31_6_1,0.65,0.9
164,hamlet15_6_1,0.0,0.0
165,hamlet32_6_1,0.0,0.0
166,hamlet42_6_1,0.0,0.0
167,hamlet42_6_2,0.0,0.0
168,hamlet42_6_3,0.5,0.4
169,hamlet42_6_4,0.125,0.2
170,hamlet34_6_1,0.0,0.0
171,hamlet34_6_2,0.0,0.0
172,hamlet44_6_1,0.2,0.2
173,hamlet44_6_2,-0.2,0.4
174,hamlet14_6_1,0.0,0.0
175,hamlet14_6_2,0.0,0.0
176,hamlet12_6_1,0.0,0.1
177,hamlet12_6_2,0.0,0.0
178,hamlet12_6_3,-0.265625,0.3125
179,hamlet12_6_4,0.0,0.0
180,hamlet12_6_5,0.0,0.0
181,hamlet12_6_6,-0.433333333333,0.466666666667
182,hamlet12_6_7,-0.25,0.4
183,hamlet12_6_8,0.6,0.6
184,hamlet12_6_9,0.0,0.0
185,hamlet12_6_10,0.25,0.675
186,hamlet12_6_11,0.0,0.0
187,hamlet12_6_12,0.0,0.0
188,hamlet12_6_13,-0.1875,0.5
189,hamlet12_6_14,-0.4,0.6
190,hamlet12_6_15,0.0,0.0
191,hamlet12_6_16,0.225,0.175
192,hamlet12_6_17,-0.25,0.5
193,hamlet12_6_18,0.285714285714,0.478571428571
194,hamlet12_6_19,0.0,0.0
195,hamlet43_6_1,0.0,0.0
196,hamlet52_6_1,0.0,0.0
197,hamlet52_6_2,0.5,0.6
198,hamlet52_6_3,0.0,0.0
199,hamlet52_6_4,0.272222222222,0.469444444444
200,hamlet22_6_1,0.0,0.0
201,hamlet51_6_1,0.0,0.0
202,hamlet51_6_2,0.0,0.0
203,hamlet51_6_3,-0.266666666667,0.5
204,hamlet51_6_4,0.0,0.0
205,hamlet51_6_5,0.295833333333,0.3875
