id,speaker_header,polarity,subjectivity
1,claudius31_1_1,-0.4,0.8
2,rosencrantz31_1_1,0.0,0.0
3,guildenstern31_13_1,0.375,0.775
4,gertrude31_1_1,0.0,0.0
5,rosencrantz31_2_1,0.5,0.5
6,guildenstern31_14_1,0.2,0.2
7,rosencrantz31_3_1,0.0,0.0
8,rosencrantz31_3_2,0.45,0.65
9,gertrude31_2_1,0.0,0.0
10,rosencrantz31_4_1,0.407142857143,0.735714285714
11,polonius31_37_1,0.425,0.575
12,polonius31_37_2,0.0,0.0
13,claudius31_2_1,0.0,0.0
14,claudius31_2_2,0.2,0.2
15,claudius31_2_3,0.35,0.55
16,rosencrantz31_5_1,0.0,0.0
17,claudius31_3_1,0.35,0.65
18,claudius31_3_2,0.0,0.0
19,claudius31_3_3,-0.05,0.65
20,gertrude31_3_1,0.75,0.8
21,ophelia31_6_1,0.0,0.0
22,polonius31_38_1,0.0,0.0
23,polonius31_38_2,0.0,0.0
24,polonius31_38_3,0.0,0.0
25,polonius31_38_4,0.0,0.5
26,polonius31_38_5,0.1,0.2
27,claudius31_4_1,-0.0971428571429,0.628571428571
28,polonius31_39_1,0.0,0.0
29,hamlet31_1_1,-1.0,1.0
30,hamlet31_1_2,-0.25,0.5
31,hamlet31_1_3,0.1,0.4
32,hamlet31_1_4,0.0,0.0
33,hamlet31_1_5,0.0,0.0
34,hamlet31_1_6,0.0,0.0
35,hamlet31_1_7,-0.05,0.4
36,hamlet31_1_8,0.2125,0.65
37,hamlet31_1_9,0.8,0.9
38,hamlet31_1_10,0.0,0.0
39,hamlet31_1_11,-0.21,0.18
40,hamlet31_1_12,0.45,0.425
41,hamlet31_1_13,0.4875,0.625
42,hamlet31_1_14,0.0,0.0
43,ophelia31_7_1,0.6,0.55
44,hamlet31_2_1,-0.2,0.4
45,hamlet31_2_2,0.0,0.0
46,ophelia31_8_1,-0.05,0.4
47,ophelia31_8_2,0.0,0.0
48,hamlet31_3_1,0.0,0.0
49,ophelia31_9_1,0.285714285714,0.535714285714
50,ophelia31_9_2,0.408333333333,0.633333333333
51,ophelia31_9_3,0.0,0.0
52,ophelia31_9_4,0.1,0.75
53,ophelia31_9_5,0.0,0.0
54,hamlet31_4_1,0.0,0.0
55,hamlet31_4_2,0.6,0.9
56,ophelia31_10_1,0.0,0.0
57,hamlet31_5_1,0.7,0.9
58,ophelia31_11_1,0.0,0.0
59,hamlet31_6_1,0.65,0.9
60,ophelia31_12_1,0.5,0.5
61,hamlet31_7_1,0.0,0.0
62,hamlet31_7_2,0.0,0.0
63,hamlet31_7_3,0.5,0.6
64,ophelia31_13_1,0.0,0.0
65,hamlet31_8_1,0.0,0.0
66,hamlet31_8_2,0.4,0.5
67,ophelia31_14_1,0.5,0.5
68,hamlet31_9_1,0.0,0.0
69,hamlet31_9_2,0.6,0.9
70,hamlet31_9_3,0.4375,0.6875
71,hamlet31_9_4,0.5,0.5
72,hamlet31_9_5,0.0,0.5
73,hamlet31_9_6,0.0,0.0
74,hamlet31_9_7,0.0,0.0
75,hamlet31_9_8,0.0,0.0
76,hamlet31_9_9,0.0,0.0
77,ophelia31_15_1,0.0,0.0
78,hamlet31_10_1,0.6,1.0
79,hamlet31_10_2,0.0,0.0
80,ophelia31_16_1,0.4375,0.65
81,hamlet31_11_1,0.214285714286,0.5
82,hamlet31_11_2,0.0,0.0
83,hamlet31_11_3,0.0,0.0
84,hamlet31_11_4,0.35,0.7
85,hamlet31_11_5,0.0,0.0
86,hamlet31_11_6,0.333333333333,0.5
87,hamlet31_11_7,0.0,0.0
88,ophelia31_17_1,0.0,0.0
89,hamlet31_12_1,0.0,0.5
90,hamlet31_12_2,0.0,0.0
91,hamlet31_12_3,-0.25,0.5
