id,speaker_header,polarity,subjectivity
1,claudius41_1_1,0.0,0.0
2,claudius41_1_2,0.241666666667,0.7
3,claudius41_1_3,0.0,0.0
4,gertrude41_1_1,-0.1875,0.5
5,gertrude41_1_2,0.875,0.6
6,claudius41_2_1,0.0,0.0
7,claudius41_2_2,0.0,0.0
8,gertrude41_2_1,-0.78125,1.0
9,gertrude41_2_2,0.4,0.4
10,claudius41_3_1,0.075,0.525
11,claudius41_3_2,0.0,0.0
12,claudius41_3_3,-0.6,0.95
13,claudius41_3_4,-0.175,0.566666666667
14,claudius41_3_5,0.366666666667,0.366666666667
15,claudius41_3_6,0.0,0.0
16,claudius41_3_7,0.0,0.0
17,gertrude41_3_1,-0.128571428571,0.6
18,claudius41_4_1,-0.05,0.05
19,claudius41_4_2,0.0,0.5
20,claudius41_4_3,0.7,0.9
21,claudius41_4_4,0.0,0.0
22,claudius41_4_5,0.0,0.0
23,claudius41_4_6,-0.15625,0.34375
24,claudius41_4_7,0.35,0.55
25,hamlet42_1_1,0.5,0.5
26,rosencrantz42_1_1,0.0,0.0
27,rosencrantz42_1_2,0.0,0.0
28,hamlet42_2_1,0.0,0.0
29,hamlet42_2_2,0.0,0.0
30,hamlet42_2_3,0.0,0.0
31,rosencrantz42_2_1,-0.2,0.4
32,hamlet42_3_1,0.0,0.0
33,rosencrantz42_3_1,0.0,0.0
34,hamlet42_4_1,0.0,0.0
35,rosencrantz42_4_1,0.0,0.0
36,hamlet42_5_1,0.6,1.0
37,hamlet42_5_2,0.0,0.0
38,hamlet42_5_3,0.0,0.0
39,rosencrantz42_5_1,0.0,0.0
40,hamlet42_6_1,0.0,0.0
41,hamlet42_6_2,0.0,0.0
42,hamlet42_6_3,0.5,0.4
43,hamlet42_6_4,0.125,0.2
44,rosencrantz42_6_1,0.0,0.0
45,hamlet42_7_1,0.5,1.0
46,rosencrantz42_7_1,0.0,0.0
47,hamlet42_8_1,0.0,0.0
48,hamlet42_8_2,0.0,0.0
49,guildenstern42_1_1,0.0,0.0
50,hamlet42_9_1,0.0,0.0
51,hamlet42_9_2,0.0,0.0
52,claudius43_1_1,0.0,0.0
53,claudius43_1_2,0.177777777778,0.811111111111
54,claudius43_1_3,0.0,0.0
55,claudius43_1_4,-0.2,0.75
56,claudius43_1_5,0.0,0.0
57,claudius43_1_6,0.0,0.0
58,rosencrantz43_1_1,-0.2,0.4
59,claudius43_2_1,0.0,0.0
60,rosencrantz43_2_1,0.0,0.0
61,rosencrantz43_2_2,0.4,0.6
62,claudius43_3_1,0.0,0.0
63,rosencrantz43_3_1,0.0,0.0
64,rosencrantz43_3_2,0.0,0.0
65,claudius43_4_1,0.0,0.0
66,hamlet43_1_1,0.0,0.0
67,claudius43_5_1,0.0,0.0
68,claudius43_5_2,0.0,0.0
69,hamlet43_2_1,0.0,0.0
70,hamlet43_2_2,0.0,0.0
71,claudius43_6_1,-0.45,1.0
72,hamlet43_3_1,0.0,0.0
73,claudius43_7_1,-0.3125,0.6875
74,hamlet43_4_1,0.0,0.0
75,claudius43_8_1,0.0,0.0
76,hamlet43_5_1,-0.125,0.375
77,hamlet43_5_2,0.0,0.0
78,claudius43_9_1,0.0,0.0
79,hamlet43_6_1,0.0,0.0
80,claudius43_10_1,0.0,0.0
81,claudius43_10_2,0.2,0.5
82,hamlet43_7_1,0.0,0.0
83,claudius43_11_1,0.0,0.0
84,hamlet43_8_1,0.7,0.6
85,claudius43_12_1,0.0,0.0
86,hamlet43_9_1,0.0,0.0
87,hamlet43_9_2,0.0,0.0
88,hamlet43_9_3,0.0,0.0
89,hamlet43_9_4,0.0,0.0
90,claudius43_13_1,0.6,0.95
91,hamlet43_10_1,0.0,0.0
92,hamlet43_10_2,0.0,0.0
93,hamlet43_10_3,0.0,0.0
94,hamlet43_10_4,0.0,0.0
95,claudius43_14_1,0.0,0.0
96,claudius43_14_2,0.0,0.0
97,claudius43_14_3,0.0,0.0
98,claudius43_14_4,0.0,0.0
99,claudius43_14_5,0.0,0.0
100,claudius43_14_6,0.353846153846,0.722307692308
101,claudius43_14_7,0.175,0.275
102,claudius43_14_8,0.0,0.0
103,claudius43_14_9,0.0,0.0
104,fortinbras44_1_1,0.0,0.0
105,fortinbras44_1_2,0.0,0.0
106,fortinbras44_1_3,0.0,0.0
107,fortinbras44_1_4,0.0,0.0
108,other44_1_1,0.0,0.0
109,fortinbras44_2_1,0.1,0.35
110,hamlet44_1_1,0.7,0.6
111,other44_2_1,0.0,0.0
112,hamlet44_2_1,0.0,0.0
113,other44_3_1,0.0,0.0
114,hamlet44_3_1,0.0,0.0
115,other44_4_1,0.1,0.2
116,hamlet44_4_1,0.166666666667,0.333333333333
117,other44_5_1,-0.1875,0.5
118,other44_5_2,0.0,0.0
119,other44_5_3,0.0,0.0
120,hamlet44_5_1,0.0,0.0
121,other44_6_1,0.0,0.0
122,hamlet44_6_1,0.2,0.2
123,hamlet44_6_2,-0.2,0.4
124,other44_7_1,0.0,0.0
125,rosencrantz44_1_1,0.0,0.0
126,hamlet44_7_1,0.2,0.4
127,hamlet44_7_2,-0.1875,0.5
128,hamlet44_7_3,-0.364583333333,0.5
129,hamlet44_7_4,0.7,0.6
130,hamlet44_7_5,-0.25,0.5
131,hamlet44_7_6,0.238095238095,0.60582010582
132,hamlet44_7_7,0.268181818182,0.65
133,hamlet44_7_8,0.0,0.0
134,hamlet44_7_9,-0.1,0.466666666667
135,hamlet44_7_10,0.0,0.0
136,hamlet44_7_11,0.0,0.0
137,hamlet44_7_12,0.628571428571,0.678571428571
138,hamlet44_7_14,0.0,0.0
139,hamlet44_7_15,0.0,0.5
140,hamlet44_7_16,-0.2125,0.5
141,gertrude45_1_1,0.0,0.0
142,other45_1_1,0.0,0.0
143,other45_1_2,0.0,0.0
144,gertrude45_2_1,0.0,0.0
145,other45_2_1,0.2,0.2
146,other45_2_2,0.0,0.0
147,other45_2_3,0.0,0.0
148,other45_2_4,-0.166666666667,0.166666666667
149,other45_2_5,0.5,0.7
150,other45_2_6,-0.05,0.894444444444
151,other45_2_7,0.7,0.6
152,other45_2_8,0.0,0.0
153,gertrude45_3_1,0.0,0.0
154,gertrude45_3_2,0.196428571429,0.701785714286
155,ophelia45_1_1,0.0,0.0
156,gertrude45_4_1,0.0,0.0
157,ophelia45_2_1,0.425,0.625
158,ophelia45_2_2,0.0,0.0
159,gertrude45_5_1,-0.025,0.825
160,ophelia45_3_1,0.0,0.0
161,ophelia45_3_2,0.0,0.0
162,ophelia45_3_3,-0.2,0.4
163,ophelia45_3_4,-0.2,0.3
164,gertrude45_6_1,0.0,0.0
165,ophelia45_4_1,0.0,0.0
166,ophelia45_4_2,0.0,0.0
