id,speaker_header,polarity,subjectivity
162,horatio12_19_1,0.0,0.7
163,horatio52_20_1,0.5,0.5
164,horatio52_20_2,0.0,0.0
165,horatio12_20_1,0.0,0.0
166,horatio52_21_1,0.6,0.9
167,horatio52_21_2,0.525,0.625
168,horatio12_21_1,0.0,0.0
169,horatio52_22_1,0.0,0.0
170,horatio52_22_2,0.0,0.0
171,horatio12_22_1,0.0,0.0
172,horatio52_23_1,0.0,0.0
173,horatio52_23_2,-0.8,0.9
174,horatio52_23_3,-0.8,0.9
175,horatio52_23_4,-0.5,0.866666666667
176,horatio52_23_5,-0.15,0.45
177,horatio52_23_6,0.0,0.0
178,horatio52_24_1,0.15,0.25625
