id,speaker_header,polarity,subjectivity
1,clownone51_1_1,0.3,0.5
2,clowntwo51_1_1,0.0,0.0
3,clowntwo51_1_2,0.1,0.2
4,clownone51_2_1,0.25,0.55
5,clowntwo51_2_1,0.0,0.0
6,clownone51_3_1,0.0,0.0
7,clownone51_3_2,0.0,0.0
8,clownone51_3_3,0.0,0.0
9,clownone51_3_4,-0.1,0.1
10,clowntwo51_3_1,0.0,0.0
11,clownone51_4_1,0.0,0.0
12,clownone51_4_2,0.0,0.0
13,clownone51_4_3,0.7,0.6
14,clownone51_4_4,0.7,0.6
15,clownone51_4_5,0.233333333333,1.0
16,clowntwo51_4_1,0.0,0.0
17,clownone51_5_1,0.0,0.0
18,clowntwo51_5_1,0.0,0.0
19,clowntwo51_5_2,0.0,0.0
20,clownone51_6_1,0.3,0.3625
21,clownone51_6_2,0.0,0.0
22,clownone51_6_3,0.0,0.0
23,clowntwo51_6_1,0.0,0.0
24,clownone51_7_1,0.25,0.333333333333
25,clowntwo51_7_1,0.0,0.0
26,clownone51_8_1,0.0,0.0
27,clownone51_8_2,0.0,0.0
28,clownone51_8_3,0.0,0.0
29,clownone51_8_4,0.0,0.0
30,clowntwo51_8_1,0.0,0.0
31,clownone51_9_1,0.0,0.0
32,clowntwo51_9_1,0.0,0.0
33,clowntwo51_9_2,0.0,0.0
34,clownone51_10_1,0.7,0.6
35,clownone51_10_2,0.0,0.0
36,clownone51_10_3,-0.5,1.0
37,clownone51_10_4,0.0,0.0
38,clownone51_10_5,0.0,0.0
39,clowntwo51_10_1,0.0,0.0
40,clownone51_11_1,0.0,0.0
41,clowntwo51_11_1,0.0,0.0
42,clownone51_12_1,0.0,0.0
43,clowntwo51_12_1,0.0,0.0
44,clownone51_13_1,-0.270833333333,0.5
45,clownone51_13_2,0.0,0.0
46,clownone51_13_3,0.0,0.0
47,clownone51_13_4,0.0,0.0
48,clownone51_13_5,0.0,0.0
49,clownone51_13_6,0.485,0.681666666667
50,clownone51_13_7,0.0,0.0
51,hamlet51_1_1,0.0,0.0
52,horatio51_1_1,0.0,0.0
53,hamlet51_2_1,-0.1875,0.5
54,clownone51_14_1,0.0,0.5
55,hamlet51_3_1,0.3125,0.333333333333
56,hamlet51_3_2,0.0,0.0
57,hamlet51_3_3,0.0,0.0
58,horatio51_2_1,0.0,0.0
59,hamlet51_4_1,0.583333333333,0.616666666667
60,hamlet51_4_2,0.0,0.0
61,horatio51_3_1,0.0,0.0
62,hamlet51_5_1,0.0,0.0
63,hamlet51_5_2,0.416666666667,0.5
64,hamlet51_5_3,-0.25,0.5
65,hamlet51_5_4,0.0,0.0
66,clownone51_15_1,0.0,0.0
67,clownone51_15_2,0.0,0.5
68,hamlet51_6_1,0.0,0.0
69,hamlet51_6_2,0.0,0.0
70,hamlet51_6_3,-0.266666666667,0.5
71,hamlet51_6_4,0.0,0.0
72,hamlet51_6_5,0.295833333333,0.3875
73,hamlet51_6_6,-0.125,0.25
74,hamlet51_6_7,0.2,0.3
